run_id,success,base_x,base_y,base_yaw,q1,q2,q3,q4,q5,q6,entry_l2_rad,entry_max_delta_rad,planning_wall_time_s,nominal_execution_time_s,alignment_time_s,trajectory_points,min_joint_margin_rad,min_joint_margin_normalized,min_manipulability,min_self_collision_clearance_m,max_joint_speed_rad_s,hybrid_expanded_nodes,ik_rejections,collision_rejections,error
12,1,0.75,2.06,0,0.636035132697,1.84717822519,2.57538262935,-1.09144069683,4.55155026077,0.550958529291,0.619705517911,0.32084548105,3.558925926,444.998397814,6.01585276968,711,0.0677138221197,0.011100626577,0.0204773299936,0.0028084449616,0.079012345679,696,1,0,""
13,1,0.75,2.06,0,0.548535132697,2.31384489186,2.18338262935,-1.4799,4.67882298805,0.658650836984,0.500912647096,0.341107164811,3.822702999,445.378304385,6.39575934021,711,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
14,1,0.75,2.06,0,0.199047828009,2.23606711408,2.07698262935,-1.07715498254,4.3027899302,0.927881606214,0.53595951273,0.337008,3.768970416,445.301445044,6.3189,711,0.0677138221197,0.011100626577,0.0274266705783,0.00129219453472,0.079012345679,696,1,0,""
15,1,0.75,2.06,0,0.111547828009,1.80396834865,2.35698262935,-1.4799,4.43006265747,1.03557391391,0.510531825151,0.335916780979,3.815117406,445.280984688,6.29843964335,711,0.0001,1.63934426229e-05,0.0260201717368,0.0028084449616,0.079012345679,696,1,0,""
16,1,0.75,2.06,0,0.461547828009,2.03730168198,2.49698262935,-1.46286926826,4.4936990211,1.08942006775,0.380098868248,0.304119253528,3.758098179,444.684781048,5.70223600364,710,0.0171307317407,0.00280831667881,0.0233060692192,0.0028084449616,0.08,696,1,0,""
17,1,0.75,2.06,0,0.286547828009,2.27063501532,2.63698262935,-1.36286926826,4.55733538474,0.447408233433,0.489176364472,0.337892580792,3.547475837,445.318030934,6.33548588985,711,0.0677138221197,0.011100626577,0.0189244175637,0.0028084449616,0.079012345679,696,1,0,""
18,1,0.75,2.06,0,0.636547828009,1.88174612643,2.10498262935,-1.26286926826,4.62097174838,0.501254387279,0.643707538089,0.309008,3.398092133,444.776445044,5.7939,710,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.08,696,1,0,""
19,1,0.75,2.06,0,0.0677978280092,2.11507945976,2.24498262935,-1.16286926826,4.68460811201,0.555100541126,0.598664064638,0.346892288778,3.410152743,445.486775459,6.50423041459,711,0.0677138221197,0.011100626577,0.0274266705783,0.0028084449616,0.079012345679,696,1,0,""
20,1,0.75,2.06,0,0.505297828009,1.82989427457,2.27298262935,-1.46053690674,4.24546461089,0.824331310356,0.381589881247,0.309990855053,3.434355841,444.794873576,5.81232853155,710,0.0194630932568,0.0031906710257,0.0274266705783,0.000730957512925,0.08,696,1,0,""
21,1,0.75,2.06,0,0.330297828009,2.06322760791,2.41298262935,-1.36053690674,4.30910097452,0.878177464203,0.141065227941,0.0928766499772,3.462142985,440.723982231,1.74143718707,705,0.0677138221197,0.011100626577,0.0274266705783,0.00114219243946,0.0711111111111,696,1,0,""
22,1,0.75,2.06,0,0.680297828009,2.29656094124,2.55298262935,-1.26053690674,4.37273733816,0.932023618049,0.428417765701,0.306420898438,3.706394628,444.727936891,5.7453918462,710,0.0677138221654,0.0111006265845,0.0235692457231,0.00245138288927,0.08,696,1,0,""
23,1,0.75,2.06,0,0.0459228280092,1.90767205235,2.69298262935,-1.16053690674,4.4363737018,0.985869771895,0.593845368218,0.327954101562,3.716696439,445.131684449,6.1491394043,711,0.0677138221197,0.011100626577,0.0143240994292,0.002730746791,0.079012345679,696,1,0,""
24,1,0.75,2.06,0,0.395922828009,2.14100538569,2.16098262935,-1.4799,4.50001006543,1.03971592574,0.400172992136,0.254415111516,3.728270016,443.752828385,4.77028334089,709,0.0001,1.63934426229e-05,0.0274266705783,0.00280844496171,0.0783673469388,696,1,0,""
25,1,0.75,2.06,0,0.220922828009,2.37433871902,2.30098262935,-1.4799,4.56364642907,1.09356207959,0.491706748117,0.308261265362,3.672787937,444.76244377,5.77989872553,710,0.0001,1.63934426229e-05,0.0274266705783,0.0028084449616,0.08,696,1,0,""
26,1,0.75,2.06,0,0.570922828009,1.98544983013,2.44098262935,-1.4799,4.62728279271,0.451550245268,0.513045823406,0.333750568958,3.688704633,445.240368212,6.25782316796,711,0.0001,1.63934426229e-05,0.0259753983306,0.0028084449616,0.079012345679,696,1,0,""
27,1,0.75,2.06,0,0.0896728280092,2.32248686717,2.46898262935,-1.4799,4.25124973485,0.720781014498,0.365171608836,0.284204101562,3.704460254,444.311371949,5.3288269043,710,0.0001,1.63934426229e-05,0.0250862656639,0.00140940542023,0.08,696,1,0,""
28,1,0.75,2.06,0,0.439672828009,1.93359797828,2.60898262935,-1.4799,4.31488609849,0.774627168345,0.300186810365,0.206287151349,3.686613913,442.850429132,3.86788408779,708,0.0001,1.63934426229e-05,0.0152792319815,0.0028084449616,0.08,696,1,0,""
29,1,0.75,2.06,0,0.614672828009,2.40026464494,2.08258262935,-1.43196547817,4.44215882576,0.882319476037,0.506280214448,0.331408,3.636252665,445.196445044,6.21389999991,711,0.0480345218282,0.00787451177511,0.0274266705783,0.00280844496171,0.079012345679,696,1,0,""
